filename,size paramter of equivalent volume sphere,wavelength (m),extinction efficiency,scattering efficiency,average geometrical cross section (m^2),volume (m^3),maximum distance from the center of mass (m),single scattering albedo,asymmetry factor
MTC_vo_08600_005380_g2,3.93088E+01,8.60000E-06,2.09907E+00,1.13365E+00,1.24810E-08,6.52380E-13,9.74000E-05,5.40072E-01,9.51563E-01
MTC_vo_08600_037232_g1,2.72016E+02,8.60000E-06,2.02359E+00,1.03684E+00,1.02510E-06,2.16180E-10,1.33400E-03,5.12379E-01,9.79776E-01
MTC_vo_08600_005938_g2,4.33850E+01,8.60000E-06,2.09587E+00,1.12473E+00,1.52040E-08,8.77100E-13,1.07500E-04,5.36641E-01,9.54463E-01
MTC_vo_08600_000389_fd,2.84106E+00,8.60000E-06,8.63843E-01,6.47191E-01,6.63345E-11,2.45394E-16,7.11741E-06,7.49199E-01,7.69615E-01
MTC_vo_08600_014360_g2,1.04916E+02,8.60000E-06,2.04681E+00,1.06227E+00,1.15670E-07,1.24040E-11,3.54200E-04,5.18989E-01,9.61194E-01
MTC_vo_08600_027910_g1,2.03910E+02,8.60000E-06,2.02858E+00,1.04219E+00,5.76030E-07,9.10640E-11,1.00000E-03,5.13751E-01,9.78544E-01
MTC_vo_08600_000148_fd,1.08051E+00,8.60000E-06,1.35765E-01,5.60636E-02,9.59232E-12,1.34951E-17,2.73747E-06,4.12945E-01,2.83994E-01
MTC_vo_08600_001999_fd,1.46031E+01,8.60000E-06,2.28946E+00,1.50333E+00,1.75443E-09,3.33401E-14,3.65452E-05,6.56633E-01,9.17111E-01
MTC_vo_08600_001440_fd,1.05226E+01,8.60000E-06,2.42831E+00,1.75864E+00,9.10267E-10,1.24727E-14,2.62797E-05,7.24227E-01,9.06545E-01
MTC_vo_08600_000077_fd,5.60301E-01,8.60000E-06,4.43578E-02,5.64158E-03,2.57765E-12,1.88137E-18,1.36873E-06,1.27183E-01,8.34921E-02
MTC_vo_08600_016611_g2,1.21364E+02,8.60000E-06,2.04230E+00,1.05770E+00,1.74030E-07,1.92000E-11,4.69800E-04,5.17896E-01,9.62328E-01
MTC_vo_08600_000203_fd,1.48065E+00,8.60000E-06,2.46443E-01,1.37094E-01,1.80137E-11,3.47294E-17,3.69558E-06,5.56292E-01,4.84148E-01
MTC_vo_08600_000104_fd,7.60383E-01,8.60000E-06,6.99690E-02,1.73088E-02,4.75010E-12,4.70269E-18,1.91623E-06,2.47378E-01,1.44482E-01
MTC_vo_08600_018632_g2,1.36129E+02,8.60000E-06,2.03958E+00,1.05423E+00,2.27420E-07,2.70950E-11,5.93300E-04,5.16885E-01,9.62707E-01
MTC_vo_08600_020201_g2,1.47591E+02,8.60000E-06,2.03643E+00,1.05448E+00,3.01920E-07,3.45310E-11,7.23800E-04,5.17809E-01,9.62528E-01
MTC_vo_08600_000055_fd,4.00231E-01,8.60000E-06,2.86018E-02,1.55092E-03,1.31113E-12,6.85641E-19,9.58113E-07,5.42246E-02,5.98224E-02
MTC_vo_08600_003883_g2,2.83715E+01,8.60000E-06,2.05812E+00,1.12148E+00,6.49200E-09,2.45290E-13,7.02990E-05,5.44908E-01,9.34914E-01
MTC_vo_08600_012061_g2,8.81157E+01,8.60000E-06,2.04924E+00,1.06800E+00,7.84090E-08,7.34840E-12,2.81100E-04,5.21171E-01,9.59617E-01
MTC_vo_08600_009333_g2,6.81853E+01,8.60000E-06,2.06123E+00,1.07703E+00,4.04210E-08,3.40490E-12,1.87300E-04,5.22518E-01,9.57426E-01
MTC_vo_08600_051633_g1,3.77232E+02,8.60000E-06,2.01897E+00,1.03351E+00,1.97140E-06,5.76580E-10,1.85000E-03,5.11902E-01,9.80658E-01
MTC_vo_08600_001041_fd,7.60217E+00,8.60000E-06,2.48792E+00,1.94273E+00,4.75068E-10,4.70285E-15,1.90254E-05,7.80865E-01,9.04473E-01
MTC_vo_08600_000750_fd,5.48166E+00,8.60000E-06,2.10021E+00,1.68000E+00,2.46974E-10,1.76296E-15,1.36873E-05,7.99923E-01,8.87399E-01
MTC_vo_08600_071617_g1,5.23235E+02,8.60000E-06,2.01525E+00,1.03162E+00,3.79270E-06,1.53860E-09,2.56600E-03,5.11906E-01,9.81224E-01
MTC_vo_08600_000542_fd,3.96133E+00,8.60000E-06,1.45625E+00,1.14098E+00,1.28967E-10,6.65252E-16,9.85487E-06,7.83508E-01,8.49367E-01
MTC_vo_08600_002801_g2,2.04617E+01,8.60000E-06,2.17159E+00,1.28163E+00,3.37870E-09,9.20150E-14,5.07010E-05,5.90179E-01,9.18845E-01
MTC_vo_08600_000279_fd,2.04083E+00,8.60000E-06,4.64182E-01,3.13144E-01,3.42246E-11,9.09484E-17,5.06431E-06,6.74614E-01,6.60712E-01
MTC_vo_00490_3_g1_016611,2.13006E+03,4.90000E-07,2.00638E+00,2.00615E+00,1.74220E-07,1.92000E-11,4.69800E-04,9.99886E-01,7.29569E-01
MTC_vo_00490_3_g1_005380,6.89909E+02,4.90000E-07,2.01352E+00,2.01337E+00,1.25050E-08,6.52380E-13,9.74000E-05,9.99922E-01,7.60568E-01
MTC_vo_00490_3_g1_020201,2.59036E+03,4.90000E-07,2.00560E+00,2.00514E+00,3.02000E-07,3.45310E-11,7.23800E-04,9.99770E-01,7.21282E-01
MTC_vo_00490_3_g1_018632,2.38921E+03,4.90000E-07,2.00591E+00,2.00556E+00,2.27770E-07,2.70950E-11,5.93300E-04,9.99825E-01,7.22789E-01
MTC_vo_00490_1_fd_000279,3.58187E+01,4.90000E-07,2.13380E+00,2.13380E+00,3.43018E-11,9.09492E-17,5.10028E-06,1.00000E+00,7.67258E-01
MTC_vo_00490_3_g1_037232,4.77415E+03,4.90000E-07,2.00372E+00,2.00325E+00,1.02580E-06,2.16180E-10,1.33400E-03,9.99763E-01,7.21246E-01
MTC_vo_00490_3_g1_014360,1.84139E+03,4.90000E-07,2.00703E+00,2.00687E+00,1.15390E-07,1.24040E-11,3.54200E-04,9.99921E-01,7.38219E-01
MTC_vo_00490_1_fd_000148,1.89639E+01,4.90000E-07,2.23477E+00,2.23477E+00,9.60181E-12,1.34950E-17,2.69831E-06,1.00000E+00,7.81155E-01
MTC_vo_00490_2_g2_001453,1.86291E+02,4.90000E-07,2.03311E+00,2.03306E+00,9.09780E-10,1.28440E-14,2.63000E-05,9.99973E-01,7.38505E-01
MTC_vo_00490_2_g2_002016,2.58539E+02,4.90000E-07,2.02540E+00,2.02517E+00,1.75230E-09,3.43320E-14,3.65000E-05,9.99888E-01,7.40705E-01
MTC_vo_00490_2_g2_000392,5.02909E+01,4.90000E-07,2.09203E+00,2.09197E+00,6.62590E-11,2.52690E-16,7.10000E-06,9.99972E-01,7.64590E-01
MTC_vo_00490_1_fd_000104,1.33457E+01,4.90000E-07,2.36822E+00,2.36822E+00,4.74838E-12,4.70290E-18,1.90286E-06,1.00000E+00,7.99488E-01
MTC_vo_00490_2_g2_000757,9.70416E+01,4.90000E-07,2.05230E+00,2.05223E+00,2.46660E-10,1.81550E-15,1.37000E-05,9.99968E-01,7.37851E-01
MTC_vo_00490_1_fd_000077,9.83389E+00,4.90000E-07,2.57777E+00,2.57777E+00,2.57705E-12,1.88139E-18,1.40375E-06,1.00000E+00,8.26029E-01
MTC_vo_00490_3_g1_003883,4.97949E+02,4.90000E-07,2.01681E+00,2.01669E+00,6.51420E-09,2.45290E-13,7.03000E-05,9.99940E-01,7.60234E-01
MTC_vo_00490_3_g1_051633,6.62084E+03,4.90000E-07,2.00300E+00,2.00253E+00,1.97290E-06,5.76590E-10,1.85000E-03,9.99768E-01,7.21381E-01
MTC_vo_00490_1_fd_000203,2.59869E+01,4.90000E-07,2.03729E+00,2.03729E+00,1.80510E-11,3.47289E-17,3.69653E-06,1.00000E+00,7.59164E-01
MTC_vo_00490_3_g1_005938,7.61450E+02,4.90000E-07,2.01266E+00,2.01252E+00,1.52320E-08,8.77100E-13,1.07500E-04,9.99926E-01,7.60516E-01
MTC_vo_00490_3_g1_009333,1.19672E+03,4.90000E-07,2.00937E+00,2.00931E+00,4.04360E-08,3.40490E-12,1.87300E-04,9.99973E-01,7.44998E-01
MTC_vo_00490_3_g1_071617,9.18331E+03,4.90000E-07,2.00241E+00,2.00194E+00,3.79560E-06,1.53860E-09,2.56600E-03,9.99767E-01,7.21407E-01
MTC_vo_00490_1_fd_000055,7.02438E+00,4.90000E-07,2.78058E+00,2.78058E+00,1.31482E-12,6.85619E-19,9.98220E-07,1.00000E+00,8.60069E-01
MTC_vo_00490_2_g2_000547,7.01244E+01,4.90000E-07,2.06844E+00,2.06835E+00,1.28820E-10,6.85060E-16,9.90000E-06,9.99959E-01,7.49131E-01
MTC_vo_00490_3_g1_002801,3.59121E+02,4.90000E-07,2.02090E+00,2.02078E+00,3.38800E-09,9.20120E-14,5.07000E-05,9.99938E-01,7.60357E-01
MTC_vo_00490_3_g1_027910,3.57882E+03,4.90000E-07,2.00451E+00,2.00404E+00,5.76460E-07,9.10640E-11,1.00000E-03,9.99764E-01,7.21276E-01
MTC_vo_00490_2_g2_001050,1.34582E+02,4.90000E-07,2.04431E+00,2.04423E+00,4.74420E-10,4.84270E-15,1.90000E-05,9.99960E-01,7.34386E-01
MTC_vo_00490_3_g1_012061,1.54653E+03,4.90000E-07,2.00790E+00,2.00776E+00,7.86110E-08,7.34850E-12,2.81100E-04,9.99932E-01,7.40934E-01
MTC_vo_05714_3_g1_037232,4.09404E+02,5.71400E-06,2.01921E+00,1.04144E+00,1.02510E-06,2.16180E-10,1.33400E-03,5.15765E-01,9.80248E-01
MTC_vo_05714_2_g2_003883,4.27019E+01,5.71400E-06,2.10479E+00,1.17476E+00,6.50210E-09,2.45300E-13,7.03000E-05,5.58133E-01,9.51524E-01
MTC_vo_05714_1_fd_000148,1.62626E+00,5.71400E-06,2.90779E-01,1.77395E-01,9.58381E-12,1.34955E-17,2.72823E-06,6.10068E-01,5.46107E-01
MTC_vo_05714_1_fd_000389,4.27597E+00,5.71400E-06,1.65828E+00,1.34252E+00,6.62719E-11,2.45386E-16,7.09341E-06,8.09589E-01,8.60906E-01
MTC_vo_05714_1_fd_000750,8.25027E+00,5.71400E-06,2.54952E+00,2.01195E+00,2.46748E-10,1.76293E-15,1.37321E-05,7.89151E-01,8.99500E-01
MTC_vo_05714_2_g2_012061,1.32621E+02,5.71400E-06,2.04124E+00,1.07171E+00,7.84280E-08,7.34850E-12,2.81100E-04,5.25029E-01,9.63764E-01
MTC_vo_05714_2_g2_005938,6.52974E+01,5.71400E-06,2.06113E+00,1.10504E+00,1.52040E-08,8.77090E-13,1.07500E-04,5.36134E-01,9.59930E-01
MTC_vo_05714_3_g1_018632,2.04885E+02,5.71400E-06,2.03047E+00,1.05445E+00,2.27780E-07,2.70950E-11,5.93300E-04,5.19312E-01,9.78068E-01
MTC_vo_05714_3_g1_020201,2.22135E+02,5.71400E-06,2.02887E+00,1.05411E+00,3.01780E-07,3.45310E-11,7.23800E-04,5.19553E-01,9.78185E-01
MTC_vo_05714_1_fd_000279,3.07163E+00,5.71400E-06,1.00806E+00,7.79761E-01,3.41941E-11,9.09517E-17,5.09270E-06,7.73524E-01,7.90181E-01
MTC_vo_05714_1_fd_002776,3.05283E+01,5.71400E-06,2.05185E+00,1.16889E+00,3.38975E-09,8.93533E-14,5.07452E-05,5.69676E-01,9.48376E-01
MTC_vo_05714_2_g2_009333,1.02624E+02,5.71400E-06,2.04935E+00,1.07948E+00,4.04210E-08,3.40490E-12,1.87300E-04,5.26740E-01,9.62022E-01
MTC_vo_05714_1_fd_000203,2.22851E+00,5.71400E-06,5.54943E-01,3.91952E-01,1.79979E-11,3.47299E-17,3.72859E-06,7.06292E-01,6.92127E-01
MTC_vo_05714_2_g2_005380,5.91624E+01,5.71400E-06,2.06800E+00,1.11606E+00,1.24810E-08,6.52370E-13,9.74000E-05,5.39679E-01,9.58420E-01
MTC_vo_05714_1_fd_000055,6.02391E-01,5.71400E-06,4.50941E-02,8.87162E-03,1.31471E-12,6.85690E-19,1.00035E-06,1.96736E-01,9.34668E-02
MTC_vo_05714_3_g1_071617,7.87508E+02,5.71400E-06,2.01242E+00,1.03568E+00,3.79250E-06,1.53860E-09,2.56600E-03,5.14645E-01,9.81159E-01
MTC_vo_05714_1_fd_000542,5.96213E+00,5.71400E-06,2.29767E+00,1.87731E+00,1.28848E-10,6.65264E-16,9.91258E-06,8.17048E-01,8.89966E-01
MTC_vo_05714_2_g2_016611,1.82662E+02,5.71400E-06,2.03333E+00,1.05919E+00,1.74240E-07,1.92000E-11,4.69800E-04,5.20914E-01,9.65663E-01
MTC_vo_05714_3_g1_027910,3.06899E+02,5.71400E-06,2.02328E+00,1.04594E+00,5.76020E-07,9.10640E-11,1.00000E-03,5.16954E-01,9.79518E-01
MTC_vo_05714_2_g2_014360,1.57907E+02,5.71400E-06,2.03561E+00,1.06216E+00,1.15290E-07,1.24040E-11,3.54200E-04,5.21789E-01,9.64647E-01
MTC_vo_05714_1_fd_000104,1.14443E+00,5.71400E-06,1.44382E-01,6.87058E-02,4.74607E-12,4.70267E-18,1.90976E-06,4.75862E-01,3.15956E-01
MTC_vo_05714_1_fd_001041,1.14418E+01,5.71400E-06,2.39357E+00,1.73554E+00,4.74671E-10,4.70278E-15,1.90067E-05,7.25083E-01,8.99863E-01
MTC_vo_05714_1_fd_001440,1.58373E+01,5.71400E-06,2.26678E+00,1.50127E+00,9.10358E-10,1.24728E-14,2.62820E-05,6.62290E-01,9.13588E-01
MTC_vo_05714_1_fd_000077,8.43299E-01,5.71400E-06,7.93786E-02,2.60864E-02,2.57681E-12,1.88139E-18,1.36412E-06,3.28633E-01,1.76843E-01
MTC_vo_05714_1_fd_001999,2.19788E+01,5.71400E-06,2.14294E+00,1.30016E+00,1.75586E-09,3.33406E-14,3.64674E-05,6.06717E-01,9.31348E-01
MTC_vo_05714_3_g1_051633,5.67766E+02,5.71400E-06,2.01544E+00,1.03805E+00,1.97130E-06,5.76590E-10,1.85000E-03,5.15047E-01,9.80786E-01
MTC_vo_08450_002801_g2,2.08247E+01,8.45000E-06,2.15836E+00,1.25795E+00,3.37860E-09,9.20110E-14,5.07000E-05,5.82826E-01,9.19100E-01
MTC_vo_08450_000542_fd,4.03168E+00,8.45000E-06,1.53063E+00,1.20654E+00,1.28966E-10,6.65268E-16,9.95196E-06,7.88264E-01,8.52207E-01
MTC_vo_08450_000279_fd,2.07706E+00,8.45000E-06,4.94717E-01,3.39681E-01,3.42250E-11,9.09489E-17,5.11047E-06,6.86616E-01,6.67574E-01
MTC_vo_08450_001041_fd,7.73700E+00,8.45000E-06,2.51081E+00,1.95357E+00,4.75054E-10,4.70264E-15,1.89625E-05,7.78064E-01,9.02545E-01
MTC_vo_08450_071617_g1,5.32523E+02,8.45000E-06,2.01551E+00,1.03184E+00,3.79270E-06,1.53860E-09,2.56600E-03,5.11953E-01,9.80762E-01
MTC_vo_08450_000750_fd,5.57897E+00,8.45000E-06,2.16904E+00,1.73831E+00,2.46966E-10,1.76297E-15,1.37176E-05,8.01416E-01,8.87420E-01
MTC_vo_08450_051633_g1,3.83931E+02,8.45000E-06,2.01928E+00,1.03360E+00,1.97140E-06,5.76590E-10,1.85000E-03,5.11867E-01,9.80214E-01
MTC_vo_08450_012061_g2,8.96803E+01,8.45000E-06,2.05036E+00,1.06663E+00,7.84100E-08,7.34850E-12,2.81100E-04,5.20215E-01,9.59523E-01
MTC_vo_08450_009333_g2,6.93957E+01,8.45000E-06,2.06208E+00,1.07500E+00,4.04210E-08,3.40490E-12,1.87300E-04,5.21319E-01,9.57379E-01
MTC_vo_08450_003883_g2,2.88752E+01,8.45000E-06,2.05888E+00,1.11565E+00,6.50690E-09,2.45290E-13,7.03000E-05,5.41872E-01,9.35513E-01
MTC_vo_08450_000055_fd,4.07329E-01,8.45000E-06,2.93391E-02,1.71994E-03,1.31223E-12,6.85611E-19,9.41401E-07,5.86228E-02,5.98645E-02
MTC_vo_08450_000104_fd,7.73879E-01,8.45000E-06,7.34706E-02,1.91549E-02,4.75010E-12,4.70265E-18,1.88280E-06,2.60715E-01,1.49405E-01
MTC_vo_08450_000203_fd,1.50693E+00,8.45000E-06,2.61127E-01,1.49126E-01,1.80135E-11,3.47286E-17,3.76561E-06,5.71087E-01,4.96617E-01
MTC_vo_08450_018632_g2,1.38546E+02,8.45000E-06,2.04033E+00,1.05332E+00,2.27420E-07,2.70950E-11,5.93300E-04,5.16249E-01,9.62601E-01
MTC_vo_08450_020201_g2,1.50211E+02,8.45000E-06,2.03728E+00,1.05360E+00,3.01930E-07,3.45310E-11,7.23800E-04,5.17161E-01,9.62393E-01
MTC_vo_08450_016611_g2,1.23518E+02,8.45000E-06,2.04215E+00,1.05575E+00,1.74030E-07,1.92000E-11,4.69800E-04,5.16981E-01,9.62158E-01
MTC_vo_08450_000077_fd,5.70252E-01,8.45000E-06,4.58878E-02,6.25593E-03,2.57782E-12,1.88142E-18,1.34486E-06,1.36331E-01,8.55696E-02
MTC_vo_08450_001440_fd,1.07093E+01,8.45000E-06,2.41715E+00,1.73567E+00,9.10140E-10,1.24724E-14,2.63592E-05,7.18064E-01,9.04279E-01
MTC_vo_08450_001999_fd,1.48623E+01,8.45000E-06,2.28314E+00,1.48724E+00,1.75455E-09,3.33402E-14,3.64457E-05,6.51402E-01,9.16501E-01
MTC_vo_08450_000389_fd,2.89148E+00,8.45000E-06,9.17197E-01,6.93838E-01,6.63328E-11,2.45389E-16,7.12775E-06,7.56477E-01,7.74463E-01
MTC_vo_08450_027910_g1,2.07529E+02,8.45000E-06,2.02906E+00,1.04169E+00,5.76030E-07,9.10640E-11,1.00000E-03,5.13386E-01,9.78163E-01
MTC_vo_08450_014360_g2,1.06779E+02,8.45000E-06,2.04674E+00,1.06023E+00,1.15670E-07,1.24040E-11,3.54200E-04,5.18008E-01,9.61051E-01
MTC_vo_08450_000148_fd,1.09969E+00,8.45000E-06,1.42842E-01,6.14061E-02,9.59219E-12,1.34953E-17,2.68972E-06,4.29888E-01,2.93653E-01
MTC_vo_08450_005380_g2,4.00066E+01,8.45000E-06,2.10478E+00,1.13425E+00,1.24810E-08,6.52380E-13,9.74000E-05,5.38891E-01,9.51967E-01
MTC_vo_08450_005938_g2,4.41549E+01,8.45000E-06,2.09460E+00,1.11888E+00,1.52040E-08,8.77090E-13,1.07500E-04,5.34173E-01,9.54467E-01
MTC_vo_08450_037232_g1,2.76844E+02,8.45000E-06,2.02398E+00,1.03672E+00,1.02510E-06,2.16180E-10,1.33400E-03,5.12218E-01,9.79361E-01
MTC_vo_01520_1_fd_000104,4.30219E+00,1.52000E-06,1.64127E+00,1.63532E+00,4.74614E-12,4.70278E-18,1.91113E-06,9.96378E-01,8.50477E-01
MTC_vo_01520_1_fd_000077,3.17015E+00,1.52000E-06,9.43947E-01,9.39788E-01,2.57672E-12,1.88141E-18,1.40311E-06,9.95594E-01,7.89151E-01
MTC_vo_01520_3_g1_051633,2.13435E+03,1.52000E-06,2.00782E+00,1.27414E+00,1.97290E-06,5.76590E-10,1.85000E-03,6.34589E-01,9.29935E-01
MTC_vo_01520_1_fd_000203,8.37744E+00,1.52000E-06,2.76293E+00,2.75052E+00,1.79976E-11,3.47300E-17,3.70131E-06,9.95508E-01,8.65882E-01
MTC_vo_01520_2_g2_005380,2.22405E+02,1.52000E-06,2.03550E+00,1.75651E+00,1.24780E-08,6.52380E-13,9.74000E-05,8.62940E-01,8.17668E-01
MTC_vo_01520_3_g1_009333,3.85785E+02,1.52000E-06,2.02445E+00,1.62979E+00,4.04460E-08,3.40490E-12,1.87300E-04,8.05051E-01,8.51553E-01
MTC_vo_01520_1_fd_000055,2.26446E+00,1.52000E-06,4.40357E-01,4.37567E-01,1.31472E-12,6.85636E-19,9.91854E-07,9.93666E-01,6.90421E-01
MTC_vo_01520_3_g1_071617,2.96041E+03,1.52000E-06,2.00628E+00,1.19771E+00,3.79560E-06,1.53860E-09,2.56600E-03,5.96981E-01,9.49680E-01
MTC_vo_01520_1_fd_000542,2.24129E+01,1.52000E-06,2.15306E+00,2.11874E+00,1.29171E-10,6.65262E-16,9.89434E-06,9.84060E-01,7.95400E-01
MTC_vo_01520_3_g1_027910,1.15370E+03,1.52000E-06,2.01178E+00,1.44776E+00,5.75980E-07,9.10640E-11,1.00000E-03,7.19642E-01,8.82124E-01
MTC_vo_01520_2_g2_001050,4.33851E+01,1.52000E-06,2.15924E+00,2.09458E+00,4.74500E-10,4.84270E-15,1.90000E-05,9.70054E-01,7.96988E-01
MTC_vo_01520_3_g1_012061,4.98552E+02,1.52000E-06,2.02061E+00,1.60139E+00,7.86200E-08,7.34850E-12,2.81100E-04,7.92530E-01,8.54053E-01
MTC_vo_01520_2_g2_002801,1.15769E+02,1.52000E-06,2.05372E+00,1.89293E+00,3.37800E-09,9.20120E-14,5.07000E-05,9.21709E-01,7.83146E-01
MTC_vo_01520_1_fd_000750,3.10148E+01,1.52000E-06,2.01085E+00,1.96330E+00,2.47508E-10,1.76298E-15,1.36924E-05,9.76354E-01,7.81812E-01
MTC_vo_01520_3_g1_016611,6.86664E+02,1.52000E-06,2.01665E+00,1.55337E+00,1.74250E-07,1.92000E-11,4.69800E-04,7.70274E-01,8.59265E-01
MTC_vo_01520_3_g1_018632,7.70206E+02,1.52000E-06,2.01542E+00,1.53175E+00,2.27780E-07,2.70950E-11,5.93300E-04,7.60014E-01,8.59571E-01
MTC_vo_01520_3_g1_020201,8.35052E+02,1.52000E-06,2.01461E+00,1.54405E+00,3.01750E-07,3.45310E-11,7.23800E-04,7.66427E-01,8.55735E-01
MTC_vo_01520_2_g2_005938,2.45467E+02,1.52000E-06,2.03295E+00,1.73184E+00,1.52000E-08,8.77090E-13,1.07500E-04,8.51882E-01,8.23358E-01
MTC_vo_01520_1_fd_000279,1.15468E+01,1.52000E-06,2.47323E+00,2.45579E+00,3.41986E-11,9.09501E-17,5.10442E-06,9.92950E-01,8.33551E-01
MTC_vo_01520_3_g1_037232,1.53904E+03,1.52000E-06,2.00972E+00,1.36331E+00,1.02580E-06,2.16180E-10,1.33400E-03,6.78357E-01,9.05623E-01
MTC_vo_01520_2_g2_003883,1.60523E+02,1.52000E-06,2.04314E+00,1.82954E+00,6.50030E-09,2.45290E-13,7.03000E-05,8.95456E-01,8.00294E-01
MTC_vo_01520_1_fd_000389,1.60745E+01,1.52000E-06,2.31887E+00,2.29434E+00,6.63622E-11,2.45398E-16,7.08812E-06,9.89425E-01,8.15451E-01
MTC_vo_01520_1_fd_000148,6.11344E+00,1.52000E-06,2.49157E+00,2.48278E+00,9.58392E-12,1.34955E-17,2.70945E-06,9.96472E-01,8.74264E-01
MTC_vo_01520_3_g1_014360,5.93605E+02,1.52000E-06,2.01835E+00,1.56161E+00,1.15400E-07,1.24040E-11,3.54200E-04,7.73708E-01,8.62655E-01
MTC_vo_01520_2_g2_001453,6.00544E+01,1.52000E-06,2.07111E+00,1.98297E+00,9.09160E-10,1.28440E-14,2.63000E-05,9.57444E-01,7.81677E-01
MTC_vo_01520_2_g2_002016,8.33447E+01,1.52000E-06,2.06860E+00,1.94907E+00,1.75080E-09,3.43320E-14,3.65000E-05,9.42215E-01,7.77878E-01
MTC_vo_02500_1_fd_000279,7.02043E+00,2.50000E-06,2.20587E+00,2.19192E+00,3.41942E-11,9.09480E-17,5.09296E-06,9.93677E-01,9.06331E-01
MTC_vo_02500_2_g2_005938,1.49244E+02,2.50000E-06,2.04439E+00,1.78509E+00,1.51870E-08,8.77100E-13,1.07500E-04,8.73164E-01,8.41885E-01
MTC_vo_02500_3_g1_020201,5.07712E+02,2.50000E-06,2.02065E+00,1.60251E+00,3.01770E-07,3.45310E-11,7.23800E-04,7.93065E-01,8.76016E-01
MTC_vo_02500_3_g1_018632,4.68285E+02,2.50000E-06,2.02179E+00,1.59117E+00,2.27790E-07,2.70950E-11,5.93300E-04,7.87007E-01,8.78949E-01
MTC_vo_02500_2_g2_009333,2.34557E+02,2.50000E-06,2.03554E+00,1.69301E+00,4.05460E-08,3.40490E-12,1.87300E-04,8.31726E-01,8.54795E-01
MTC_vo_02500_2_g2_002801,7.03876E+01,2.50000E-06,2.09181E+00,1.95651E+00,3.37860E-09,9.20120E-14,5.07000E-05,9.35317E-01,8.26037E-01
MTC_vo_02500_3_g1_016611,4.17492E+02,2.50000E-06,2.02353E+00,1.61281E+00,1.74250E-07,1.92000E-11,4.69800E-04,7.97027E-01,8.79833E-01
MTC_vo_02500_1_fd_000750,1.88571E+01,2.50000E-06,2.31044E+00,2.27167E+00,2.47248E-10,1.76301E-15,1.36873E-05,9.83218E-01,8.70962E-01
MTC_vo_02500_3_g1_014360,3.60912E+02,2.50000E-06,2.02593E+00,1.62152E+00,1.15400E-07,1.24040E-11,3.54200E-04,8.00385E-01,8.82769E-01
MTC_vo_02500_1_fd_000148,3.71698E+00,2.50000E-06,8.08819E-01,8.01894E-01,9.58398E-12,1.34956E-17,2.70563E-06,9.91439E-01,8.31633E-01
MTC_vo_02500_1_fd_000389,9.77335E+00,2.50000E-06,2.63205E+00,2.61224E+00,6.62717E-11,2.45401E-16,7.08240E-06,9.92476E-01,9.07706E-01
MTC_vo_02500_2_g2_002016,5.06740E+01,2.50000E-06,2.15738E+00,2.05738E+00,1.75110E-09,3.43330E-14,3.65000E-05,9.53646E-01,8.31267E-01
MTC_vo_02500_3_g1_037232,9.35734E+02,2.50000E-06,2.01374E+00,1.41806E+00,1.02500E-06,2.16180E-10,1.33400E-03,7.04191E-01,9.15885E-01
MTC_vo_02500_2_g2_003883,9.75981E+01,2.50000E-06,2.07031E+00,1.88923E+00,6.49470E-09,2.45290E-13,7.03000E-05,9.12534E-01,8.28972E-01
MTC_vo_02500_3_g1_051633,1.29769E+03,2.50000E-06,2.01105E+00,1.32212E+00,1.97130E-06,5.76590E-10,1.85000E-03,6.57428E-01,9.36569E-01
MTC_vo_02500_1_fd_000077,1.92745E+00,2.50000E-06,1.72382E-01,1.69135E-01,2.57677E-12,1.88141E-18,1.39261E-06,9.81165E-01,6.28366E-01
MTC_vo_02500_1_fd_000104,2.61572E+00,2.50000E-06,3.71819E-01,3.67176E-01,4.74609E-12,4.70268E-18,1.90986E-06,9.87512E-01,7.37289E-01
MTC_vo_02500_1_fd_001440,3.61976E+01,2.50000E-06,2.02700E+00,1.95299E+00,9.12167E-10,1.24726E-14,2.63004E-05,9.63490E-01,8.44562E-01
MTC_vo_02500_1_fd_001041,2.61514E+01,2.50000E-06,2.18802E+00,2.13441E+00,4.75989E-10,4.70281E-15,1.90190E-05,9.75499E-01,8.58738E-01
MTC_vo_02500_3_g1_012061,3.03119E+02,2.50000E-06,2.02912E+00,1.66094E+00,7.86110E-08,7.34850E-12,2.81100E-04,8.18551E-01,8.77534E-01
MTC_vo_02500_3_g1_027910,7.01449E+02,2.50000E-06,2.01665E+00,1.50593E+00,5.75980E-07,9.10640E-11,1.00000E-03,7.46748E-01,8.96792E-01
MTC_vo_02500_1_fd_000542,1.36272E+01,2.50000E-06,2.49410E+00,2.46615E+00,1.28918E-10,6.65282E-16,9.90739E-06,9.88796E-01,8.87569E-01
MTC_vo_02500_2_g2_005380,1.35222E+02,2.50000E-06,2.05186E+00,1.81264E+00,1.24670E-08,6.52380E-13,9.74000E-05,8.83413E-01,8.37816E-01
MTC_vo_02500_1_fd_000203,5.09340E+00,2.50000E-06,1.43833E+00,1.42848E+00,1.79976E-11,3.47283E-17,3.70035E-06,9.93150E-01,8.81071E-01
MTC_vo_02500_1_fd_000055,1.37679E+00,2.50000E-06,7.19493E-02,6.97711E-02,1.31472E-12,6.85636E-19,9.94718E-07,9.69727E-01,4.27278E-01
