filename,size paramter of equivalent volume sphere,wavelength (m),extinction efficiency,scattering efficiency,average geometrical cross section (m^2),volume (m^3),maximum distance from the center of mass (m),single scattering albedo,asymmetry factor
MTC_vo_07350_000389_fd,3.32424E+00,7.35000E-06,1.34976E+00,1.01856E+00,6.63342E-11,2.45394E-16,7.13571E-06,7.54623E-01,8.12053E-01
MTC_vo_07350_001440_fd,1.23121E+01,7.35000E-06,2.32286E+00,1.49558E+00,9.10196E-10,1.24727E-14,2.63202E-05,6.43850E-01,9.08958E-01
MTC_vo_07350_000077_fd,6.55591E-01,7.35000E-06,7.06250E-02,1.27388E-02,2.57900E-12,1.88137E-18,1.40375E-06,1.80372E-01,1.07695E-01
MTC_vo_11000_005380_g2,3.07323E+01,1.10000E-05,1.93189E+00,9.43677E-01,1.24970E-08,6.52380E-13,9.74000E-05,4.88475E-01,9.61528E-01
MTC_vo_11000_005938_g2,3.39191E+01,1.10000E-05,1.93827E+00,9.52025E-01,1.52230E-08,8.77100E-13,1.07500E-04,4.91174E-01,9.62773E-01
MTC_vo_11000_037232_g1,2.12667E+02,1.10000E-05,1.99459E+00,1.01510E+00,1.02570E-06,2.16180E-10,1.33400E-03,5.08927E-01,9.78114E-01
MTC_vo_11000_001999_fd,1.14170E+01,1.10000E-05,1.75447E+00,7.69785E-01,1.75299E-09,3.33403E-14,3.64147E-05,4.38757E-01,9.52250E-01
MTC_vo_11000_000389_fd,2.22119E+00,1.10000E-05,8.83228E-01,1.72179E-01,6.63310E-11,2.45393E-16,7.17789E-06,1.94943E-01,7.08657E-01
MTC_vo_11000_002776_fd,1.58581E+01,1.10000E-05,1.84390E+00,8.53119E-01,3.38666E-09,8.93533E-14,5.07704E-05,4.62671E-01,9.60584E-01
MTC_vo_11000_014360_g2,8.20255E+01,1.10000E-05,1.97298E+00,9.87786E-01,1.15720E-07,1.24040E-11,3.54200E-04,5.00658E-01,9.68695E-01
MTC_vo_11000_000148_fd,8.44757E-01,1.10000E-05,3.86704E-01,1.85716E-02,9.59231E-12,1.34950E-17,2.62606E-06,4.80253E-02,1.75204E-01
MTC_vo_11000_001440_fd,8.22668E+00,1.10000E-05,1.68863E+00,6.98721E-01,9.10159E-10,1.24723E-14,2.62606E-05,4.13779E-01,9.40558E-01
MTC_vo_11000_000077_fd,4.38065E-01,1.10000E-05,2.03274E-01,1.89859E-03,2.57354E-12,1.88151E-18,1.40056E-06,9.34007E-03,4.90500E-02
