   1.6400000e+01   9.7500000e+01   3.5101950e+05   6.3999720e+03   2.1951191e+00   4.9410214e-01   9.1960000e-01
   1.6400000e+01   1.0000000e+02   3.7871930e+05   6.7323840e+03   2.1910810e+00   4.9458197e-01   9.2050000e-01
   1.6400000e+01   1.1250000e+02   5.3923110e+05   8.5206730e+03   2.1755278e+00   4.9772685e-01   9.2410000e-01
   1.6400000e+01   1.2500000e+02   7.3968600e+05   1.0519350e+04   2.1644620e+00   5.0082265e-01   9.2650000e-01
   1.6400000e+01   1.3750000e+02   9.8452210e+05   1.2728410e+04   2.1514461e+00   5.0277922e-01   9.2860000e-01
   1.6400000e+01   1.5000000e+02   1.2781770e+06   1.5147860e+04   2.1434404e+00   5.0502870e-01   9.3080000e-01
   1.6400000e+01   1.6250000e+02   1.6250900e+06   1.7777700e+04   2.1353308e+00   5.0689895e-01   9.3260000e-01
   1.6400000e+01   1.7500000e+02   2.0296980e+06   2.0617920e+04   2.1278866e+00   5.0873732e-01   9.3390000e-01
   1.6400000e+01   1.8750000e+02   2.4964400e+06   2.3668540e+04   2.1218341e+00   5.1012847e-01   9.3520000e-01
   1.6400000e+01   2.0000000e+02   3.0297540e+06   2.6929530e+04   2.1162401e+00   5.1136724e-01   9.3610000e-01
   1.6400000e+01   2.1250000e+02   3.6340780e+06   3.0400920e+04   2.1109000e+00   5.1256941e-01   9.3680000e-01
   1.6400000e+01   2.2500000e+02   4.3138490e+06   3.4082690e+04   2.1061311e+00   5.1357107e-01   9.3750000e-01
   1.6400000e+01   2.3750000e+02   5.0735070e+06   3.7974850e+04   2.1025666e+00   5.1458508e-01   9.3860000e-01
   1.6400000e+01   2.5000000e+02   5.9174880e+06   4.2077400e+04   2.0979522e+00   5.1549881e-01   9.3920000e-01
   1.6400000e+01   2.6250000e+02   6.8502320e+06   4.6390330e+04   2.0950429e+00   5.1636038e-01   9.3980000e-01
